@RELATION remaining_behavior_ext

@ATTRIBUTE inter_api_access_duration(sec) REAL
@ATTRIBUTE api_access_uniqueness REAL
@ATTRIBUTE sequence_length(count) REAL
@ATTRIBUTE vsession_duration(min) REAL
@ATTRIBUTE ip_type {datacenter,default,google_bot,private_ip}
@ATTRIBUTE behavior_type {attack,bot,normal,outlier}
@ATTRIBUTE num_sessions REAL
@ATTRIBUTE num_users REAL
@ATTRIBUTE num_unique_apis REAL
@ATTRIBUTE source {E,F}

@DATA
7.010387096774193,0.41935483870967744,31.0,13040,default,outlier,1.0,1.0,13.0,E
51.419392523364486,0.2523364485981308,107.0,330113,default,outlier,1.0,1.0,27.0,E
25.860775,0.275,40.0,62066,default,outlier,1.0,1.0,11.0,E
0.2059090909090909,0.8181818181818182,11.0,136,default,outlier,1.0,1.0,9.0,E
0.122125,0.8125,16.0,118,default,outlier,1.0,1.0,13.0,E
15.32678947368421,0.6842105263157895,19.0,17473,default,outlier,1.0,1.0,13.0,E
0.40118950437317785,0.13411078717201166,343.0,8257,default,outlier,2.0,1.0,46.0,E
15.913862068965518,0.07758620689655173,11.6,110761,default,bot,57.0,10.0,9.0,E
0.0054375,0.25,2.0,3,default,bot,4.0,4.0,2.0,E
17.5334,0.19,200.0,210401,default,outlier,1.0,1.0,38.0,E
10.360288888888888,0.28888888888888886,90.0,55946,default,outlier,1.0,1.0,26.0,E
2.2019499999999996,0.6,20.0,2643,default,outlier,1.0,1.0,12.0,E
9.4989375,0.5625,32.0,18238,default,outlier,1.0,1.0,18.0,E
40.34403424657534,0.2328767123287671,146.0,353414,default,outlier,1.0,1.0,34.0,E
0.584125,0.75,16.0,561,default,outlier,1.0,1.0,12.0,E
4.781528571428571,0.2357142857142857,280.0,80330,default,outlier,1.0,1.0,66.0,E
7.433645833333333,0.5416666666666666,48.0,21409,default,outlier,1.0,1.0,26.0,E
9.885666666666665,0.4722222222222222,36.0,21354,default,outlier,1.0,1.0,17.0,E
14.549466666666667,0.8666666666666667,15.0,13095,default,outlier,1.0,1.0,13.0,E
0.028842105263157895,0.9473684210526315,19.0,33,default,outlier,1.0,1.0,18.0,E
0.32897435897435895,0.7435897435897436,39.0,770,private_ip,outlier,1.0,1.0,29.0,E
265.94025,0.5,3.0,95739,default,bot,2.0,2.0,3.0,E
18.450928,0.288,125.0,138382,default,outlier,1.0,1.0,36.0,E
0.02775,1.0,2.0,4,default,outlier,2.0,1.0,2.0,E
2.1126666666666667,1.0,3.0,381,default,outlier,1.0,1.0,3.0,E
16.284328125,0.421875,64.0,62532,default,outlier,1.0,1.0,27.0,E
23.157363636363637,0.2597402597402597,154.0,213975,default,outlier,1.0,1.0,40.0,E
1.510888888888889,0.5925925925925926,27.0,2448,default,outlier,1.0,1.0,16.0,E
683.7524615384615,0.07692307692307693,13.0,533327,default,outlier,1.0,1.0,1.0,E
0.0013680811808118082,0.07564575645756458,41.69230769230769,45,default,bot,68.0,13.0,41.0,E
10.379929054054053,0.28378378378378377,148.0,92174,default,outlier,2.0,1.0,42.0,E
1.736563725490196,0.22549019607843138,102.0,10628,default,outlier,1.0,1.0,23.0,E
4.495993464052288,0.16339869281045752,153.0,41274,default,outlier,1.0,1.0,25.0,E
1.8113636363636363,0.7272727272727273,11.0,1196,datacenter,outlier,1.0,1.0,8.0,E
92.42173333333334,0.4,15.0,83180,default,outlier,1.0,1.0,6.0,E
0.010333333333333333,1.0,3.0,2,default,outlier,3.0,1.0,3.0,E
0.15788888888888888,0.7777777777777778,9.0,86,default,outlier,1.0,1.0,7.0,E
1.73375,1.0,4.0,417,default,outlier,1.0,1.0,4.0,E
1.3914000000000002,0.6,5.0,418,default,outlier,2.0,1.0,3.0,E
0.99075,0.75,12.0,714,default,outlier,1.0,1.0,9.0,E
46.893277108433736,0.3253012048192771,83.0,233529,default,outlier,1.0,1.0,27.0,E
0.1051578947368421,0.7894736842105263,19.0,120,default,outlier,1.0,1.0,15.0,E
0.16716666666666666,0.2108843537414966,294.0,2949,default,outlier,3.0,1.0,62.0,E
0.8027321428571429,0.38392857142857145,112.0,5395,default,outlier,3.0,1.0,43.0,E
0.014004739336492891,0.26066350710900477,211.0,178,default,outlier,2.0,1.0,55.0,E
3.7405263157894737,0.631578947368421,19.0,4265,default,outlier,1.0,1.0,12.0,E
0.008666666666666666,1.0,3.0,2,default,outlier,3.0,1.0,3.0,E
3.0525882352941176,0.8235294117647058,17.0,3114,default,outlier,1.0,1.0,14.0,E
